"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
1,1657.15323794979,1,5,4,1,0,1,61756.2258416888,10310101004015,2018,3,49320,33748,103101,3,0
1,1657.15323794979,1,5,3,2,0,1,66088.9213974164,10310101004023,2018,1,49320,33748,103101,3,0
1,1657.15323794979,1,2,0,2,1,1,52512.2080810055,10310101004031,2018,2,49320,33748,103101,3,0
1,1657.15323794979,1,7,3,4,0,1,33934.8214981186,10310101004046,2018,2,49320,33748,103101,3,1
1,1657.15323794979,1,4,1,3,1,2,28357.2025798,10310101004053,2018,1,49320,33748,103101,3,1
1,1657.15323794979,1,5,3,2,0,1,65001.4175004576,10310101004061,2018,3,49320,33748,103101,3,0
1,1657.15323794979,1,1,0,1,0,1,114333.635221098,10310101004068,2018,3,49320,33748,103101,3,0
1,1657.15323794979,1,5,1,4,0,1,73407.8819056185,10310101004083,2018,3,49320,33748,103101,3,0
1,1657.15323794979,1,5,3,2,0,1,39221.732370363,10310101004091,2018,1,49320,33748,103101,3,1
1,1657.15323794979,1,7,5,2,0,1,22798.7345466595,10310101004098,2018,1,49320,33748,103101,3,1
1,1657.15323794979,1,3,0,3,0,1,50364.5863108886,10310101004113,2018,1,49320,33748,103101,3,0
1,2903.68443463768,1,4,1,3,0,1,81954.6511236616,10316103001035,2018,3,49320,33748,103161,3,0
1,2903.68443463768,1,3,1,2,0,1,142423.242376197,10316103001048,2018,3,49320,33748,103161,3,0
1,2903.68443463768,1,2,0,2,0,1,109118.485588021,10316103001056,2018,1,49320,33748,103161,3,0
1,2903.68443463768,1,1,0,1,1,1,63660.5413246591,10316103001075,2018,2,49320,33748,103161,3,0
1,2903.68443463768,1,5,2,3,0,2,53570.6533445413,10316103001088,2018,1,49320,33748,103161,3,0
1,2903.68443463768,1,3,1,2,0,1,76640.1417964523,10316103001101,2018,3,49320,33748,103161,3,0
1,2903.68443463768,1,6,3,3,1,2,54368.4750843144,10316103001114,2018,3,49320,33748,103161,3,0
1,2903.68443463768,1,2,0,2,0,1,129027.094124893,10316103001126,2018,4,49320,33748,103161,3,0
1,2903.68443463768,1,1,0,1,1,2,96290.4109073819,10316103001154,2018,2,49320,33748,103161,3,0
1,2903.68443463768,1,3,0,3,1,1,69571.34935092,10316103001167,2018,1,49320,33748,103161,3,0
1,2903.68443463768,1,6,3,3,3,1,150842.013857186,10316103001181,2018,1,49320,33748,103161,3,0
