"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","year","educlevel_hhh","hhid","CLUSTER","hhh_main_activity","povline","food_povline","below_pov"
1,1268.90680332402,1,4,3,1,0,2,66237.8834562326,2012,3,13031043243,6,NA,36482,26085,0
1,1268.90680332402,1,6,4,2,0,1,40359.6397219061,2012,1,13031043252,6,1,36482,26085,0
1,1268.90680332402,1,7,3,4,0,1,39535.8562962816,2012,3,13031043271,6,1,36482,26085,0
1,630.365428594532,1,6,4,2,0,1,56712.8435142965,2012,3,13111033004,7,2,36482,26085,0
1,630.365428594532,1,7,1,6,1,2,29961.1325034202,2012,1,13111033006,7,1,36482,26085,1
1,630.365428594532,1,9,5,4,1,1,43947.6158433737,2012,2,13111033010,7,1,36482,26085,0
1,630.365428594532,1,6,4,2,0,1,64516.6535668483,2012,2,13111033017,7,1,36482,26085,0
1,630.365428594532,1,5,3,2,0,2,29343.3426758735,2012,3,13111033021,7,1,36482,26085,1
1,630.365428594532,1,7,4,3,0,1,31109.00719725,2012,1,13111033024,7,2,36482,26085,1
1,630.365428594532,1,4,3,1,0,2,24976.4558155461,2012,3,13111033027,7,2,36482,26085,1
1,630.365428594532,1,7,4,3,0,2,29378.8697943515,2012,3,13111033034,7,1,36482,26085,1
1,630.365428594532,1,5,4,1,0,2,36165.0749257077,2012,1,13111033038,7,1,36482,26085,1
1,630.365428594532,1,3,1,2,0,1,53191.8806378919,2012,3,13111033041,7,1,36482,26085,0
1,630.365428594532,1,4,3,1,0,2,30433.9136636736,2012,3,13111033044,7,1,36482,26085,1
1,630.365428594532,1,5,3,2,0,1,38426.9735786131,2012,3,13111033048,7,1,36482,26085,0
1,630.365428594532,1,7,5,2,0,1,41103.8006852359,2012,1,13111033051,7,1,36482,26085,0
1,630.365428594532,1,6,4,2,0,1,30877.354479646,2012,2,13111033055,7,1,36482,26085,1
1,630.365428594532,1,6,1,5,0,2,29277.9568923051,2012,1,13111033058,7,1,36482,26085,1
1,630.365428594532,1,6,4,2,0,1,40050.5398952739,2012,3,13111033061,7,1,36482,26085,0
1,630.365428594532,1,7,3,4,0,1,25670.0952752832,2012,1,13111033068,7,1,36482,26085,1
1,630.365428594532,1,1,0,1,0,1,147715.70249742,2012,4,13111033072,7,4,36482,26085,0
1,630.365428594532,1,1,0,1,0,1,251775.426637112,2012,4,13111033075,7,4,36482,26085,0
1,630.365428594532,1,1,0,1,0,1,54547.8789599185,2012,1,13111033078,7,1,36482,26085,0
1,630.365428594532,1,6,4,2,0,1,18675.7437556474,2012,1,13111033085,7,1,36482,26085,1
1,630.365428594532,1,10,6,4,0,2,16184.64258916,2012,3,13111033089,7,1,36482,26085,1
1,630.365428594532,1,4,2,2,0,1,43114.6737591876,2012,3,13111033092,7,1,36482,26085,0
1,630.365428594532,1,8,4,4,0,1,23067.6617728071,2012,3,13111033095,7,1,36482,26085,1
1,630.365428594532,1,8,4,4,0,1,18563.2211473715,2012,3,13111033099,7,1,36482,26085,1
1,630.365428594532,1,3,0,3,0,2,26769.4144032231,2012,1,13111033102,7,1,36482,26085,1
2,449.815207366239,1,5,3,2,0,2,82574.1286336415,2012,3,13123313002,15,1,36482,26085,0
2,449.815207366239,1,5,4,1,0,2,32378.378302283,2012,3,13123313003,15,2,36482,26085,1
2,449.815207366239,1,7,3,4,1,2,44361.3125026644,2012,1,13123313008,15,2,36482,26085,0
2,449.815207366239,1,10,5,5,0,2,18458.8389214933,2012,1,13123313009,15,NA,36482,26085,1
2,449.815207366239,1,5,2,3,0,1,55891.8023266259,2012,3,13123313014,15,4,36482,26085,0
2,449.815207366239,1,2,0,2,0,1,131817.513650694,2012,5,13123313020,15,2,36482,26085,0
2,449.815207366239,1,7,3,4,0,1,21411.5301228536,2012,3,13123313026,15,NA,36482,26085,1
2,449.815207366239,1,2,0,2,1,2,61271.9489465469,2012,1,13123313032,15,2,36482,26085,0
2,449.815207366239,1,3,1,2,0,1,72817.8721586031,2012,3,13123313037,15,1,36482,26085,0
2,449.815207366239,1,5,3,2,0,1,65704.1026740305,2012,2,13123313043,15,1,36482,26085,0
2,449.815207366239,1,4,0,4,0,1,104398.052543201,2012,4,13123313049,15,2,36482,26085,0
2,449.815207366239,1,4,1,3,0,1,69259.4324768061,2012,1,13123313060,15,3,36482,26085,0
2,449.815207366239,1,4,2,2,0,2,66906.0078282412,2012,3,13123313072,15,2,36482,26085,0
2,449.815207366239,1,4,1,3,0,1,38225.5605445277,2012,3,13123313089,15,1,36482,26085,0
2,449.815207366239,1,7,4,3,0,1,23498.6337379643,2012,3,13123313095,15,1,36482,26085,1
2,449.815207366239,1,4,1,3,0,1,109045.915985133,2012,3,13123313100,15,2,36482,26085,0
2,449.815207366239,1,6,3,3,0,1,111324.894742563,2012,3,13123313112,15,2,36482,26085,0
2,449.815207366239,1,2,0,2,0,1,80917.3966081043,2012,3,13123313118,15,2,36482,26085,0
2,449.815207366239,1,4,2,2,0,1,65458.9266641256,2012,3,13123313129,15,2,36482,26085,0
2,449.815207366239,1,3,1,2,0,2,94389.5293316694,2012,3,13123313140,15,2,36482,26085,0
2,449.815207366239,1,7,4,3,0,1,51745.238596208,2012,3,13123313146,15,2,36482,26085,0
2,449.815207366239,1,3,1,2,0,1,92998.2710243178,2012,3,13123313152,15,2,36482,26085,0
2,449.815207366239,1,2,0,2,0,2,113194.875417024,2012,3,13123313158,15,2,36482,26085,0
2,449.815207366239,1,4,2,2,0,1,84161.9561461602,2012,3,13123313163,15,2,36482,26085,0
2,449.815207366239,1,4,2,2,0,1,72524.750293262,2012,3,13123313169,15,2,36482,26085,0
1,1183.42691580186,1,6,3,3,0,1,76218.349679267,2012,3,14101031004,8,2,36482,26085,0
1,1183.42691580186,1,3,1,2,0,1,177556.600287852,2012,3,14101031011,8,2,36482,26085,0
1,1183.42691580186,1,3,1,2,0,1,166367.04902707,2012,4,14101031012,8,2,36482,26085,0
1,1183.42691580186,1,6,3,3,0,1,118899.274262114,2012,3,14101031019,8,1,36482,26085,0
1,1183.42691580186,1,7,4,3,0,1,50140.7750920918,2012,3,14101031034,8,1,36482,26085,0
1,1183.42691580186,1,3,1,2,0,2,163325.951205904,2012,4,14101031042,8,4,36482,26085,0
1,1183.42691580186,1,8,2,6,0,1,355821.744503234,2012,3,14101031050,8,1,36482,26085,0
1,1183.42691580186,1,8,5,3,0,1,83771.7703869384,2012,3,14101031057,8,4,36482,26085,0
1,1183.42691580186,1,3,1,2,0,1,126697.673880871,2012,3,14101031065,8,4,36482,26085,0
1,1183.42691580186,1,8,5,3,1,2,25770.0382447213,2012,1,14101031073,8,2,36482,26085,1
1,1183.42691580186,1,3,0,3,2,1,48880.368047567,2012,1,14101031080,8,1,36482,26085,0
1,1183.42691580186,1,3,1,2,0,1,73368.859909825,2012,3,14101031088,8,1,36482,26085,0
1,1183.42691580186,1,4,2,2,0,1,39579.4697238038,2012,3,14101031095,8,1,36482,26085,0
1,1183.42691580186,1,4,2,2,0,1,51126.8973316107,2012,3,14101031103,8,4,36482,26085,0
1,1183.42691580186,1,5,2,3,1,2,35517.4937548264,2012,1,14101031111,8,1,36482,26085,1
1,1183.42691580186,1,3,1,2,0,1,85865.9625075779,2012,3,14101031118,8,1,36482,26085,0
1,1183.42691580186,1,6,3,3,0,1,57269.2106950048,2012,3,14101031126,8,1,36482,26085,0
1,1183.42691580186,1,5,0,5,0,1,113798.491159002,2012,3,14101031134,8,2,36482,26085,0
1,1183.42691580186,1,2,1,1,0,2,95586.3950615694,2012,4,14101031141,8,4,36482,26085,0
